schoolid,School Name,location,curriculum,grades,established,enroll1819
1,Al Adab Iranian Private School for Boys,Al Qusais,Iranian,KG1-G12,1989,215
2,Al Adab Iranian Private School for Girls,Al Qusais,Iranian,KG1-G12,1989,213
4,Al Arqm Private School,Al Barsha 1,MOE,KG1-G12,1990,682
5,Al Basateen Private Nursery,Al Khawaneej 1,MOE,KG1-KG2,2003,135
6,Al Basateen Private Nursery Hatta branch,Hatta,MOE,KG1-KG2,2004,109
7,Al Diyafah High School,Al Nahda 2,UK,FS1-Y13,1982,1590
8,Al Eman Educational Est ( Al Eman private School ),Al Rashidiya,MOE,KG1-G9,1973,485
9,Al Ittihad Private school,Al Mamzar,US,Pre Primary-G12,1975,1848
10,Al Ittihad Private School (BR),Al Safa 1,US,KG1-G12,1998,2258
11,Al Khaleej National School,Al Garhoud,US,KG1-G12,1992,2129
12,Al Maaref Private School (LLC),Al Qusais,US,KG1-G12,1987,1461
13,Al Mawakeb School - Al Garhoud,Al Garhoud,US,KG1-G12,1995,2548
14,Al Mawakeb School - Br,Al Barsha 2,US,KG1-G12,1998,2918
,Al Mawakeb School Al Khwaneej,Al Mizhar 1,US,Pre Primary-G8,2018,337
15,Al Mizhar American Academy School,Al Mizhar 1,US,Pre Primary-G12,2005,606
16,Al Nibras International private School,Dubai Investment Park,US,KG1-G12,2005,891
17,Al Rashid Al Saleh Private School,Oud Metha,MOE,KG1-G12,1973,2563
18,Al Sadiq Islamic English School,Al Qusais,UK,FS1-Y11,1989,2068
,Al Salam Community School ,Al Twar 2,UK,FS1-Y13,2019,
20,Al Salam Private School,Al Nahda 2,UK,FS1-Y13,1989,1261
21,Al Shurooq Private School,Jumeirah 1,MOE,KG1-G12,1986,1901
,Ambassador International Academy,Al Quoz 2,UK-IB,Pre Primary-G5,2019,
22,Ambassador Kindergarten LLC,Al Mankhool,Indian,KG1-KG2,2012,410
23,Ambassador School L.L.C,Al Mankhool,Indian,G1-G12,2010,762
24,American International School,Al Qusais,US,KG1-G12,2003,2473
25,American School of Creative Science,Al Barsha,US,KG1-G6,2016,427
26,American School of Dubai,Al Barsha 2,US,KG1-G12,1973,1822
,Amity School L.L.C,Al Qusais,Indian,KG1-G5,2017,508
27,AMLED SCHOOL,Al Quoz 4,Indian,KG2- G6,2015,649
28,Apple International School,Al Qusais,UK,FS2-Y8,1994,2201
29,Arab Unity School,Al Mizhar 1,UK,KG1-G12,1975,3374
,Arcadia High School ,Barsha South,UK,Y7-Y13,2019,
30,Bilva Indian School,Al Qusais,Indian,KG1-G78,2014,465
,Bright Riders ,Dubai Investment Park,Indian,KG1-G5,2018,40
